Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1719214_P1	SRR1719214_P1.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	28.0	31.968766653536925	97.30383002386525	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719214_P2	SRR1719214_P2.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	23.0	22.010704603906486	76.50823235014713	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719214_U1	SRR1719214_U1.fastq	Conventional base calls	Sanger / Illumina 1.9	1296.0	0.0	20-100	37.0	96.06481481481481	78.34876543209876	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR1719214_u2	SRR1719214_u2.fastq	Conventional base calls	Sanger / Illumina 1.9	354.0	0.0	21-100	22.0	61.86440677966102	60.48022598870057	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
SRR1719241_P1	SRR1719241_P1.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	28.0	31.968766653536925	97.30383002386525	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719241_P2	SRR1719241_P2.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	23.0	22.010704603906486	76.50823235014713	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719241_U1	SRR1719241_U1.fastq	Conventional base calls	Sanger / Illumina 1.9	1296.0	0.0	20-100	37.0	96.06481481481481	78.34876543209876	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR1719241_u2	SRR1719241_u2.fastq	Conventional base calls	Sanger / Illumina 1.9	354.0	0.0	21-100	22.0	61.86440677966102	60.48022598870057	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
SRR1719242_P1	SRR1719242_P1.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	28.0	31.968766653536925	97.30383002386525	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719242_P2	SRR1719242_P2.fastq	Conventional base calls	Sanger / Illumina 1.9	215795.0	0.0	20-100	23.0	22.010704603906486	76.50823235014713	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR1719242_U1	SRR1719242_U1.fastq	Conventional base calls	Sanger / Illumina 1.9	1296.0	0.0	20-100	37.0	96.06481481481481	78.34876543209876	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR1719242_u2	SRR1719242_u2.fastq	Conventional base calls	Sanger / Illumina 1.9	354.0	0.0	21-100	22.0	61.86440677966102	60.48022598870057	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
